"Timestamp","Studio Art (x1) - Demand (kW)","PV Inverter (x0) - Demand (kW)","Chiller (x0) - Demand (kW)","MDB - AHU (x0) - Demand (kW)","LDB (x0) - Demand (kW)","H1 (x0) - Demand (kW)","LDB (x0) - Temperature (F)","Chiller (x0) - Temperature (F)","H1 (x0) - Temperature (F)","MDB - AHU (x0) - Temperature (F)","PV Inverter (x0) - Temperature (F)","Studio Art (x1) - Temperature (F)"
"2017-04-13 01:53:00",,,,,,,57,57,57,57,57,57
"2017-04-13 02:53:00",,,,,,,56,56,56,56,56,56
"2017-04-13 03:53:00",,,,,,,54,54,54,54,54,54
"2017-04-13 04:53:00",,,,,,,55,55,55,55,55,55
"2017-04-13 05:53:00",,,,,,,55,55,55,55,55,55
"2017-04-13 06:53:00",,,,,,,55,55,55,55,55,55
"2017-04-13 07:53:00",,,,,,,57,57,57,57,57,57
"2017-04-13 08:53:00",,,,,,,59,59,59,59,59,59
"2017-04-13 09:53:00",,,,,,,62,62,62,62,62,62
"2017-04-13 10:53:00",,,,,,,66,66,66,66,66,66
"2017-04-13 11:53:00",,,,,,,68,68,68,68,68,68
"2017-04-13 12:53:00",,,,,,,69,69,69,69,69,69
"2017-04-13 13:53:00",,,,,,,69,69,69,69,69,69
"2017-04-13 14:53:00",,,,,,,70,70,70,70,70,70
"2017-04-13 15:53:00",,,,,,,68,68,68,68,68,68
"2017-04-13 16:53:00",,,,,,,66,66,66,66,66,66
"2017-04-13 17:53:00",,,,,,,63,63,63,63,63,63
"2017-04-13 18:53:00",,,,,,,62,62,62,62,62,62
"2017-04-13 19:53:00",,,,,,,60,60,60,60,60,60
"2017-04-13 20:53:00",,,,,,,58,58,58,58,58,58
"2017-04-13 21:53:00",,,,,,,56,56,56,56,56,56
"2017-04-13 22:53:00",,,,,,,54,54,54,54,54,54
"2017-04-13 23:53:00",,,,,,,53,53,53,53,53,53
"2017-04-14 00:53:00",,,,,,,53,53,53,53,53,53
"2017-04-14 01:53:00",,,,,,,51,51,51,51,51,51
"2017-04-14 02:53:00",,,,,,,51,51,51,51,51,51
"2017-04-14 03:53:00",,,,,,,51,51,51,51,51,51
"2017-04-14 04:53:00",,,,,,,49,49,49,49,49,49
"2017-04-14 05:53:00",,,,,,,49,49,49,49,49,49
"2017-04-14 06:53:00",,,,,,,50,50,50,50,50,50
"2017-04-14 07:53:00",,,,,,,52,52,52,52,52,52
"2017-04-14 08:53:00",,,,,,,55,55,55,55,55,55
"2017-04-14 09:53:00",,,,,,,58,58,58,58,58,58
"2017-04-14 10:53:00",,,,,,,61,61,61,61,61,61
"2017-04-14 11:53:00",,,,,,,64,64,64,64,64,64
"2017-04-14 12:53:00",,,,,,,68,68,68,68,68,68
"2017-04-14 13:53:00",,,,,,,69,69,69,69,69,69
"2017-04-14 15:53:00",,,,,,,72,72,72,72,72,72
"2017-04-14 16:53:00",,,,,,,69,69,69,69,69,69
"2017-04-14 17:53:00",,,,,,,67,67,67,67,67,67
"2017-04-14 18:53:00",,,,,,,64,64,64,64,64,64
"2017-04-14 19:53:00",,,,,,,61,61,61,61,61,61
"2017-04-14 20:53:00",,,,,,,59,59,59,59,59,59
"2017-04-14 21:53:00",,,,,,,58,58,58,58,58,58
"2017-04-14 22:53:00",,,,,,,57,57,57,57,57,57
"2017-04-14 23:53:00",,,,,,,56,56,56,56,56,56
"2017-04-15 00:53:00",,,,,,,54,54,54,54,54,54
"2017-04-15 01:53:00",,,,,,,54,54,54,54,54,54
"2017-04-15 02:53:00",,,,,,,54,54,54,54,54,54
"2017-04-15 03:53:00",,,,,,,51,51,51,51,51,51
"2017-04-15 04:53:00",,,,,,,50,50,50,50,50,50
"2017-04-15 05:53:00",,,,,,,51,51,51,51,51,51
"2017-04-15 06:53:00",,,,,,,51,51,51,51,51,51
"2017-04-15 07:53:00",,,,,,,57,57,57,57,57,57
"2017-04-15 08:53:00",,,,,,,61,61,61,61,61,61
"2017-04-15 09:53:00",,,,,,,65,65,65,65,65,65
"2017-04-15 10:53:00",,,,,,,70,70,70,70,70,70
"2017-04-15 11:53:00",,,,,,,74,74,74,74,74,74
"2017-04-15 12:53:00",,,,,,,77,77,77,77,77,77
"2017-04-15 13:53:00",,,,,,,79,79,79,79,79,79
"2017-04-15 14:53:00",,,,,,,79,79,79,79,79,79
"2017-04-15 15:53:00",,,,,,,78,78,78,78,78,78
"2017-04-15 16:53:00",,,,,,,76,76,76,76,76,76
"2017-04-15 17:53:00",,,,,,,74,74,74,74,74,74
"2017-04-15 18:53:00",,,,,,,71,71,71,71,71,71
"2017-04-15 19:53:00",,,,,,,67,67,67,67,67,67
"2017-04-15 20:53:00",,,,,,,65,65,65,65,65,65
"2017-04-15 21:53:00",,,,,,,63,63,63,63,63,63
"2017-04-15 22:53:00",,,,,,,61,61,61,61,61,61
"2017-04-15 23:53:00",,,,,,,61,61,61,61,61,61
"2017-04-16 00:53:00",,,,,,,59,59,59,59,59,59
"2017-04-16 01:53:00",,,,,,,55,55,55,55,55,55
"2017-04-16 02:53:00",,,,,,,53,53,53,53,53,53
"2017-04-16 03:53:00",,,,,,,55,55,55,55,55,55
"2017-04-16 04:53:00",,,,,,,55,55,55,55,55,55
"2017-04-16 05:53:00",,,,,,,56,56,56,56,56,56
"2017-04-16 06:53:00",,,,,,,54,54,54,54,54,54
"2017-04-16 07:53:00",,,,,,,60,60,60,60,60,60
"2017-04-16 08:53:00",,,,,,,64,64,64,64,64,64
"2017-04-16 09:53:00",,,,,,,67,67,67,67,67,67
"2017-04-16 10:53:00",,,,,,,72,72,72,72,72,72
"2017-04-16 11:53:00",,,,,,,77,77,77,77,77,77
"2017-04-16 12:53:00",,,,,,,78,78,78,78,78,78
"2017-04-16 13:53:00",,,,,,,81,81,81,81,81,81
"2017-04-16 14:53:00",,,,,,,80,80,80,80,80,80
